GeneName	4R07C00CMN09NSFBV	4R08C69DMN09NSFBV	4R16C59DMN09NSFBV	FN_2R14C31CMN09NSFBV	FN_2R25C06CMN09NSFBV	FN_6R42C96DMN09NSFBV	M92-220-01	M92-220-02	M92-220-05	M92-220-06	M92-220-07
GmISU01.01G018900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019100	0	0	0	1	0	0	0	0	0	0	0
GmISU01.01G019200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G019800	0	1	1	0	0	0	1	1	0	0	1
GmISU01.01G019900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G020000	0	0	0	0	0	0	2	0	0	0	0
GmISU01.01G020100	83	282	256	430	32	59	201	153	18	48	32
GmISU01.01G020200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G020300	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G020400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G020500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G020600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G020700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G020800	2	0	1	0	0	1	3	1	5	2	2
GmISU01.01G020900	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G021000	2	3	1	9	0	5	1	0	0	1	4
GmISU01.01G021100	0	0	0	0	0	0	1	0	0	0	0
GmISU01.01G021200	0	1	0	1	0	0	1	1	0	1	0
GmISU01.01G021300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G021400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G021500	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G021600	2	10	7	4	4	2	9	5	0	5	3
GmISU01.01G021700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G021800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G021900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022000	1	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022100	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G022200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022400	0	1	0	2	0	0	0	0	0	0	0
GmISU01.01G022500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G022900	1	1	0	0	2	1	3	0	0	1	2
GmISU01.01G023000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023400	0	0	0	0	0	0	0	0	1	0	1
GmISU01.01G023450	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G023800	2	8	2	2	1	1	11	4	1	1	2
GmISU01.01G023900	0	1	0	0	0	0	0	0	0	0	0
GmISU01.01G024000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G024100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G024200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G024300	0	0	0	0	0	0	1	1	1	1	0
GmISU01.01G024400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G024500	406	340	545	786	206	939	658	608	2811	2456	2073
GmISU01.01G024600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G024700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G024800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G024900	0	0	0	0	0	0	1	2	0	0	0
GmISU01.01G025000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G025100	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G025200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G025300	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G025400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G025500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G025600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G025700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G025800	54	57	62	108	35	87	91	70	111	103	125
GmISU01.01G025900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026500	16	28	22	17	14	33	52	35	16	17	25
GmISU01.01G026600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G026800	89	160	162	172	64	106	236	248	102	113	124
GmISU01.01G026900	18	19	43	37	10	49	50	40	95	78	69
GmISU01.01G027000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027600	7	13	9	12	5	8	7	11	8	11	21
GmISU01.01G027700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027750	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G027800	1	1	1	3	0	1	2	1	1	2	3
GmISU01.01G027900	66	120	97	99	49	74	150	141	42	45	53
GmISU01.01G028000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G028100	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G028200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G028300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G028400	8	0	1	1	0	6	2	3	1	0	5
GmISU01.01G028500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G028600	23	70	41	80	29	24	59	92	2	1	1
GmISU01.01G028700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G028800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G028850	0	0	0	1	0	0	0	0	0	0	0
GmISU01.01G028900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G029000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G029100	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G029200	14	27	27	22	14	34	46	36	46	76	47
GmISU01.01G029300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G029400	0	0	2	1	0	0	0	0	0	0	0
GmISU01.01G029500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G029600	2	0	1	0	0	2	1	4	0	2	1
GmISU01.01G029700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G029800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G029900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G030000	0	0	0	0	0	0	0	0	1	1	0
GmISU01.01G030100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G030200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G030300	23	32	29	39	13	48	60	57	78	82	52
GmISU01.01G030400	0	0	0	2	0	0	0	0	0	0	0
GmISU01.01G030500	37	53	50	93	16	36	29	26	59	56	50
GmISU01.01G030600	3	9	6	7	3	8	15	9	10	3	9
GmISU01.01G030700	0	1	1	0	0	0	0	0	0	0	0
GmISU01.01G030800	0	0	0	2	0	0	0	0	0	0	0
GmISU01.01G030900	0	0	1	1	0	2	3	4	1	0	1
GmISU01.01G031000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G031100	23	1	2	5	1	17	9	9	29	20	21
GmISU01.01G031200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G031300	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G031400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G031500	0	3	0	3	0	3	2	0	1	0	0
GmISU01.01G031600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G031700	0	1	0	0	0	0	0	0	0	0	0
GmISU01.01G031800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G031900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G032000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G032100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G032200	0	0	0	1	0	0	0	0	0	0	0
GmISU01.01G032250	1	0	1	7	1	2	2	3	3	6	4
GmISU01.01G032300	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G032400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G032500	0	0	0	0	0	0	0	2	0	0	0
GmISU01.01G032600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G032700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G032800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G032900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033100	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G033200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033400	0	1	6	0	0	2	6	4	2	1	7
GmISU01.01G033500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G033900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G034000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G034100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G034200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G034300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G034400	3	3	3	10	0	2	2	2	10	7	5
GmISU01.01G034500	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G034600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G034700	31	1	44	49	20	45	75	69	46	53	44
GmISU01.01G034800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G034900	4	0	6	8	3	10	7	9	6	6	7
GmISU01.01G035001	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G035100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G035200	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G035300	3	0	6	2	4	9	4	8	5	12	13
GmISU01.01G035400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G035500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G035600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G035700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G035800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G035900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036400	0	1	0	0	0	0	0	0	0	0	0
GmISU01.01G036500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036700	0	0	1	0	0	1	0	0	0	0	0
GmISU01.01G036800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G036900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G037000	36	36	45	52	13	53	60	78	32	33	45
GmISU01.01G037100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G037200	0	0	0	0	0	0	0	0	1	0	0
GmISU01.01G037300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G037400	67	169	175	189	54	113	182	177	65	116	99
GmISU01.01G037500	0	0	0	2	0	0	2	2	4	3	1
GmISU01.01G037600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G037700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G037800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G037900	20	0	17	12	8	15	9	29	10	7	9
GmISU01.01G038000	0	0	0	1	0	0	0	0	0	0	0
GmISU01.01G038100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G038200	6	8	6	11	0	4	7	4	9	9	5
GmISU01.01G038300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G038400	27	47	37	42	23	70	69	61	27	31	28
GmISU01.01G038450	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G038500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G038600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G038700	10	28	13	22	4	139	36	26	27	26	47
GmISU01.01G038800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G038900	19	29	20	27	19	21	45	43	31	30	30
GmISU01.01G039000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G039100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G039200	66	41	60	97	22	47	70	51	50	50	51
GmISU01.01G039300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G039400	0	0	0	0	0	0	0	0	1	0	0
GmISU01.01G039500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G039600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G039701	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G039800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G039900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G040000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G040100	0	0	0	1	0	0	0	0	0	0	0
