genes	X4R07C00CMN09NSFBV	X4R08C69DMN09NSFBV	X4R16C59DMN09NSFBV	FN_2R14C31CMN09NSFBV	FN_2R25C06CMN09NSFBV	FN_6R42C96DMN09NSFBV	M92.220.01	M92.220.02	M92.220.05	M92.220.06	M92.220.07
GmISU01.10G036300.v2.1	2.21614685086223	3.58733266620391	1.97342050411818	2.3304821202993	2.70393782647784	3.04254643194337	3.51825583841746	2.30492447788489	2.11788123993789	3.75832547063225	2.0043793084403
GmISU01.10G037100.v2.1	4.37240906626397	3.94204621843889	4.14025519807972	3.66469205342074	0.977384054633652	2.62041231970179	3.51825583841746	2.98439606031955	2.11788123993789	2.09813502873131	2.59822913173228
GmISU01.10G037500.v2.1	4.97373366022588	3.58733266620391	4.42960109881022	3.26618640158959	3.96435749338276	3.63457080821104	4.92768603373537	4.50947786615001	3.7894405170609	3.75832547063225	3.83071190392259
GmISU01.10G038300.v2.1	3.66440946983889	3.11594066294778	3.55573457534148	3.66469205342074	2.70393782647784	3.63457080821104	2.88579195752019	3.62909140513859	3.18331123426228	3.98594414630553	3.01768984579888
GmISU01.10G039000.v2.1	8.49493318300251	8.31546799516177	8.54691653673633	8.77524440017281	8.95878364321679	8.77058770763043	8.37229445437267	8.46847318024329	9.34829869045116	8.92277925449815	8.97317971370327
GmISU01.10G039100.v2.1	8.89453550705104	8.13810400544306	8.30934517166523	8.62675700059968	8.28150004388625	10.0030378945207	8.33037923344583	8.5450971564019	11.0958234668296	11.1577054600034	10.6381416850499
GmISU01.10G039200.v2.1	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	0.977384054633652	2.30492447788489	0.977384054633652	3.15492053076738	2.59822913173228
GmISU01.10G039400.v2.1	3.32217901439923	3.11594066294778	2.55705939782261	2.71372990914431	0.977384054633652	2.62041231970179	0.977384054633652	2.68429760172033	2.74679177032776	0.977384054633652	0.977384054633652
GmISU01.10G039800.v2.1	0.977384054633652	0.977384054633652	0.977384054633652	1.80707174710563	0.977384054633652	2.62041231970179	3.12873391605106	1.78875000927458	0.977384054633652	0.977384054633652	2.0043793084403
GmISU01.10G040100.v2.1	10.274992346471	9.23683714769376	9.2455961165786	9.44138718616337	9.52858046475712	10.1376153287746	9.81055745107149	10.0069934103595	10.289832113689	10.0701809456867	10.2881807311083
GmISU01.10G040700.v2.1	8.9026298559299	4.8465498952595	5.49335403154403	5.83451016678377	3.46762736682825	10.7163701669999	5.31920063103465	5.17604008597724	7.28657916267688	7.3562787934955	7.75830364467153
GmISU01.10G040800.v2.1	2.21614685086223	3.37080468969202	3.55573457534148	2.71372990914431	2.70393782647784	3.36871579887852	4.18868258426698	3.62909140513859	2.74679177032776	5.00151026588552	3.01768984579888
GmISU01.10G041500.v2.1	7.64466717849249	8.493650541727	7.78969543671698	8.31635410088168	7.95128950701393	6.96912381788087	6.47125987292371	5.90528122511285	5.69415368705451	5.78555448309973	6.75780796472716
GmISU01.10G043400.v2.1	2.21614685086223	4.35017398363715	3.97044067882202	4.45050952948865	3.46762736682825	3.63457080821104	3.51825583841746	2.30492447788489	4.21494607787667	2.09813502873131	3.34226537473309
GmISU01.10G043900.v2.1	6.40896622459911	5.45441893874523	5.77708521058769	5.7134974381209	5.56796422686696	7.10675430408172	6.17906880861471	6.68698648007449	8.24398669029283	7.63332426217264	7.2589970202087
GmISU01.10G044000.v2.1	4.37240906626397	4.8465498952595	4.42960109881022	4.45050952948865	4.33316912679405	3.36871579887852	5.21774793043122	5.67286470844616	2.11788123993789	2.72120178055425	0.977384054633652
GmISU01.10G044200.v2.1	7.36897305624468	7.03292352095958	7.56944093510469	7.30443649147401	7.59199478492852	7.31045473700231	7.14558701120115	7.48247768991654	8.18642327949437	8.32695272352157	7.70278909685867
GmISU01.10G044400.v2.1	5.39688314018762	5.65958054304133	6.5843183163219	5.58139708690119	5.26092867075728	5.58354664476518	5.66587296081376	5.63020951980182	6.6323741239798	6.41320097222355	6.42194522308351
GmISU01.10G044800.v2.1	5.86291807439146	6.65538243026071	6.01408134268697	6.2944358670293	6.38909986964981	4.86499184274275	6.12405252013807	5.97511722040037	4.38834362198216	5.10207773335974	4.34754571263907
GmISU01.10G045400.v2.1	5.48577278460783	6.24174565969512	6.29157311307109	6.14644823463967	5.70001393882839	6.06101063702754	5.94517084806802	6.04172820238984	4.81030123167851	5.28434779730952	4.9342640399757
GmISU01.10G045500.v2.1	5.92781206203564	6.99553397610436	6.29157311307109	6.59775451156754	6.96272087177834	6.06101063702754	6.5359148445162	6.43772410180958	7.19614121419212	6.24743617151011	5.78381988935971
GmISU01.10G046700.v2.1	0.977384054633652	1.86553557640773	2.97143463793344	3.47915526204486	0.977384054633652	3.36871579887852	2.59348740400748	3.23269168431508	0.977384054633652	2.72120178055425	3.01768984579888
GmISU01.10G047000.v2.1	2.21614685086223	2.41120158879958	1.97342050411818	0.977384054633652	0.977384054633652	2.62041231970179	1.73311470228689	3.23269168431508	4.01782398526141	2.72120178055425	2.59822913173228
GmISU01.10G049700.v2.1	5.72365661960487	6.33450500938608	6.13959212723681	6.68617380294215	5.26092867075728	6.41913785435229	5.50292479057641	5.63020951980182	6.44871832796658	7.16028854341683	6.31493375118913
GmISU01.10G049800.v2.1	6.65879237636403	6.67916024881833	6.9003138562442	6.59775451156754	6.22340504874172	6.01512239861764	6.49313506382697	6.43772410180958	3.18331123426228	2.09813502873131	4.9342640399757
GmISU01.10G050200.v2.1	0.977384054633652	2.8061820280856	2.55705939782261	3.47915526204486	0.977384054633652	3.04254643194337	2.59348740400748	3.93972015443948	4.81030123167851	4.77653512669992	4.48552831015847
GmISU01.10G051700.v2.1	0.977384054633652	0.977384054633652	1.97342050411818	3.01624241833366	0.977384054633652	0.977384054633652	1.73311470228689	2.30492447788489	5.55552737986409	4.1824965279748	2.59822913173228
