GeneName	Bert-01	Bert-02	Bert-03	Bert-04	Bert-05	WTP0579-16	WTP0579-18	WTP0579-26	WTP0579-32
GmISU01.01G018800	0	0	0	1	0	0	0	0	0
GmISU01.01G018900	0	0	0	0	0	0	0	0	0
GmISU01.01G019000	0	0	0	0	0	0	0	0	0
GmISU01.01G019100	0	0	0	0	0	0	0	0	0
GmISU01.01G019200	0	0	0	0	0	0	0	0	0
GmISU01.01G019300	0	0	0	0	0	0	0	0	0
GmISU01.01G019400	0	0	0	0	0	0	0	0	0
GmISU01.01G019500	0	0	0	0	0	0	0	0	0
GmISU01.01G019600	0	0	0	0	0	0	0	0	0
GmISU01.01G019700	0	0	0	0	0	0	0	0	0
GmISU01.01G019800	1	1	1	0	1	0	0	1	0
GmISU01.01G019900	0	0	0	0	0	0	0	0	0
GmISU01.01G020000	1	1	0	0	0	0	0	0	0
GmISU01.01G020100	55	331	60	33	66	37	22	34	5
GmISU01.01G020200	0	0	0	0	0	0	0	0	0
GmISU01.01G020300	2	0	0	0	0	0	0	0	0
GmISU01.01G020400	0	0	0	0	0	0	0	0	0
GmISU01.01G020500	0	0	0	0	0	0	0	0	0
GmISU01.01G020600	0	0	0	0	0	1	0	0	0
GmISU01.01G020700	0	0	0	0	0	0	0	0	0
GmISU01.01G020800	4	3	7	3	4	4	3	2	6
GmISU01.01G020900	0	0	0	0	0	0	0	0	0
GmISU01.01G021000	1	1	0	0	1	2	6	8	3
GmISU01.01G021100	0	1	0	0	0	0	0	0	0
GmISU01.01G021200	0	3	0	0	0	1	0	1	0
GmISU01.01G021300	0	0	0	0	0	0	0	0	0
GmISU01.01G021400	0	0	0	0	0	0	0	0	0
GmISU01.01G021500	0	0	0	0	0	0	0	0	0
GmISU01.01G021600	4	9	11	1	7	3	5	2	5
GmISU01.01G021700	0	0	0	0	0	0	0	0	0
GmISU01.01G021800	0	0	1	0	0	0	0	0	0
GmISU01.01G021900	0	0	0	0	0	0	0	0	0
GmISU01.01G022000	0	0	0	0	1	0	2	0	0
GmISU01.01G022100	0	0	0	0	1	0	0	0	0
GmISU01.01G022200	0	0	0	0	0	0	0	0	0
GmISU01.01G022300	0	0	0	0	0	0	0	0	0
GmISU01.01G022400	0	0	1	0	0	2	1	1	0
GmISU01.01G022500	0	0	0	0	0	0	0	0	0
GmISU01.01G022600	0	0	0	0	0	0	0	0	0
GmISU01.01G022700	0	0	0	0	0	0	0	0	0
GmISU01.01G022800	0	0	0	0	0	0	0	0	0
GmISU01.01G022900	0	5	2	1	0	1	6	5	1
GmISU01.01G023000	0	0	0	0	0	0	0	0	0
GmISU01.01G023100	0	0	0	0	0	0	0	0	0
GmISU01.01G023200	0	0	0	0	0	0	0	0	0
GmISU01.01G023300	0	0	0	0	0	0	0	0	0
GmISU01.01G023400	0	0	0	0	0	0	0	0	0
GmISU01.01G023450	0	0	0	0	0	1	0	0	0
GmISU01.01G023500	0	0	0	0	0	0	0	0	0
GmISU01.01G023600	0	0	0	0	0	0	0	0	0
GmISU01.01G023700	0	0	0	0	0	0	0	0	0
GmISU01.01G023800	2	6	8	4	5	4	6	1	4
GmISU01.01G023900	1	0	4	0	0	0	0	0	0
GmISU01.01G024000	0	0	0	0	0	0	0	0	0
GmISU01.01G024100	0	0	0	0	0	0	0	0	0
GmISU01.01G024200	0	0	0	0	0	0	0	0	0
GmISU01.01G024300	2	0	4	0	1	2	2	1	3
GmISU01.01G024400	0	0	0	0	0	0	0	0	0
GmISU01.01G024500	809	710	244	2169	1233	723	954	1127	493
GmISU01.01G024600	0	0	0	0	0	0	0	0	0
GmISU01.01G024700	0	0	0	0	0	0	0	0	0
GmISU01.01G024800	0	0	0	0	0	0	0	0	0
GmISU01.01G024900	0	0	1	0	0	2	0	0	0
GmISU01.01G025000	0	0	0	0	0	0	0	0	0
GmISU01.01G025100	0	0	1	1	0	0	0	0	0
GmISU01.01G025200	0	0	0	0	0	0	0	0	0
GmISU01.01G025300	0	0	0	0	0	1	2	0	0
GmISU01.01G025400	0	0	0	0	0	0	0	0	0
GmISU01.01G025500	0	0	0	0	0	0	0	0	0
GmISU01.01G025600	0	0	0	0	0	0	0	0	0
GmISU01.01G025700	0	0	0	0	0	1	0	0	3
GmISU01.01G025800	102	108	38	94	115	93	101	119	90
GmISU01.01G025900	0	0	0	0	0	0	0	0	0
GmISU01.01G026000	0	0	0	0	0	0	0	0	0
GmISU01.01G026100	0	0	0	0	0	0	0	0	0
GmISU01.01G026200	0	0	0	0	0	0	0	0	0
GmISU01.01G026300	0	0	0	0	0	0	0	0	0
GmISU01.01G026400	0	0	0	0	0	0	0	0	0
GmISU01.01G026500	36	56	65	18	52	42	34	41	51
GmISU01.01G026600	0	0	0	0	0	0	0	0	0
GmISU01.01G026700	0	0	0	0	0	0	0	0	0
GmISU01.01G026800	94	230	228	96	158	85	106	103	99
GmISU01.01G026900	43	42	13	62	67	55	49	40	43
GmISU01.01G027000	0	0	0	0	0	0	0	0	0
GmISU01.01G027100	0	0	0	0	0	0	0	0	0
GmISU01.01G027200	0	0	0	0	0	0	0	0	0
GmISU01.01G027300	0	0	0	0	0	0	0	1	0
