genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.12G050300.v2.1	2.76544728414175	2.55591605799835	3.47107536988988	1.79436785569481	3.02049527917325	2.97053402960597	2.89763220347562	2.5500327614921	2.92483032674013
GmISU01.12G050500.v2.1	2.76544728414175	3.01472281386774	2.0784048195632	0.562771745184491	2.44877368660308	2.97053402960597	3.57691059520499	3.86939950559177	2.18125335944731
GmISU01.12G051200.v2.1	2.76544728414175	3.76406872895644	1.51108951230996	2.89756862739078	4.32637218525542	3.65639711205318	3.74705890941538	2.5500327614921	4.5163740411061
GmISU01.12G051900.v2.1	0.562771745184491	1.8792178990583	0.562771745184489	2.89756862739078	3.02049527917325	0.562771745184491	1.57086804721782	2.13641627239693	0.562771745184489
GmISU01.12G052001.v2.1	3.3712675132226	2.25688429486715	2.48453710804054	3.2392796804893	1.48778251912831	2.64338834246888	1.57086804721782	2.87110757795101	2.18125335944731
GmISU01.12G052600.v2.1	1.70100136620478	1.366213121777	2.48453710804054	2.44894449249177	0.562771745184491	1.61701352510528	2.57489922328341	2.87110757795101	3.77721804312662
GmISU01.12G053000.v2.1	7.09078306169286	7.28163059987701	7.90932193828677	6.5093152364859	7.13813451825986	7.51388652840589	7.17866645938235	7.23242795857927	7.25612758558097
GmISU01.12G053100.v2.1	4.12470485848473	4.62026055159054	4.16630386463631	3.5153536068858	4.12157582663413	3.82776031811363	3.16120295014934	3.71758629786	3.92976904938162
GmISU01.12G053400.v2.1	0.562771745184491	0.562771745184491	0.562771745184489	0.562771745184491	0.562771745184491	1.61701352510528	0.562771745184489	1.55429159996985	2.60042651607653
GmISU01.12G053900.v2.1	7.28382107987249	6.19043264607186	6.41344371480924	7.60477956369949	7.51838310714527	7.2976086978788	7.72855320166607	7.27384318477755	7.68921441734524
GmISU01.12G054000.v2.1	0.562771745184491	0.562771745184491	0.562771745184489	1.79436785569481	0.562771745184491	1.61701352510528	2.89763220347562	0.562771745184489	2.60042651607653
GmISU01.12G054200.v2.1	6.14301352706558	5.8484781151679	6.04472299962677	5.73489628052658	5.66088139815568	5.71056885325588	5.43634635247769	5.5906738583542	5.89690462807524
GmISU01.12G054800.v2.1	6.21369160359019	6.21201676901648	6.45919241918865	5.56322829318612	6.43354822653978	6.44878121267002	6.35998689821121	6.18995968506554	6.28422441945414
GmISU01.12G055100.v2.1	6.52292393233974	6.87115125446373	6.76264947762685	6.23196461369277	6.62032999335575	6.55019127785766	6.27905005590134	6.13108025181784	6.10352362505217
GmISU01.12G055800.v2.1	1.70100136620478	1.366213121777	0.562771745184489	1.79436785569481	3.42886647238243	2.97053402960597	1.57086804721782	2.5500327614921	2.18125335944731
GmISU01.12G055900.v2.1	5.86419260506329	4.16908238235633	4.71115144516025	5.73489628052658	5.45799435086929	4.83349884203926	5.03762071929057	5.30128242148948	3.92976904938162
GmISU01.12G056000.v2.1	4.81196014119618	4.85786891395209	4.16630386463631	5.67991241740054	5.11536157288904	5.62016985217153	4.97047174915948	5.24685900135865	5.36582937147711
GmISU01.12G056600.v2.1	3.3712675132226	4.412237339668	1.51108951230996	1.79436785569481	3.02049527917325	3.98091294385994	3.16120295014934	2.5500327614921	3.41308135098423
