genes	NMU_14204	NMU_16331	NMU_20728	NMU_20732	Williams.82.ISU.01.01	Williams.82.ISU.01.02	Williams.82.ISU.01.03	Williams.82.ISU.01.04	Williams.82.ISU.01.05
GmISU01.13G319100.v2.1	7.00237202802355	7.14265467249901	6.40729644896775	7.10135502871282	6.02014755233183	6.53079438749424	5.97417743282358	7.06560048489255	7.0711454296991
GmISU01.13G320100.v2.1	0.814959520703223	3.33489092365518	2.91803121664756	2.02034907676498	2.98537771883598	2.87036489991488	2.29067796972423	3.41566349431489	3.11624677414631
GmISU01.13G320300.v2.1	4.0892118479286	4.35783459165809	3.24657584356201	3.72760485792478	2.98537771883598	2.87036489991488	3.66980774463576	4.17775853098769	3.96193191797508
GmISU01.13G320400.v2.1	1.97799237537085	0.814959520703225	2.91803121664756	0.814959520703223	1.72214605455793	2.44927528264763	2.69145944521611	4.39702832723163	0.814959520703225
GmISU01.13G320500.v2.1	8.63863483727494	7.98739038225604	8.70510166361498	8.56438132403394	8.38544587157351	8.34739528520478	8.54943417930847	6.98331184323804	7.61969790137071
GmISU01.13G320800.v2.1	4.91177780027909	5.29457600985446	5.64625890372695	5.1788264780907	5.33126572457631	5.74388119494976	5.56061132373734	6.40834428302391	6.64256073021421
GmISU01.13G321500.v2.1	1.97799237537085	3.83347306327574	2.49189828077695	2.02034907676498	2.27479467644525	3.19591211639538	2.69145944521611	2.6358176222957	3.68015735339459
GmISU01.13G321600.v2.1	5.27882422358529	5.44009797306017	5.11351846581159	5.4301353640108	4.63572768079847	4.58329385795806	5.17907191871353	4.17775853098769	4.40005739712684
GmISU01.13G322400.v2.1	2.6134470484528	3.00135269766607	4.10626106575415	2.66775363795292	2.67339970436879	0.814959520703223	0.814959520703223	2.24181919763128	2.86569762974355
GmISU01.13G323000.v2.1	3.05308305151793	3.00135269766607	1.88448558073144	0.814959520703223	0.814959520703223	1.85213184319396	1.73381173821494	1.69803618169234	0.814959520703225
GmISU01.13G323600.v2.1	0.814959520703223	1.94185777511269	0.814959520703225	0.814959520703223	0.814959520703223	1.85213184319396	2.29067796972423	3.41566349431489	1.65152577034286
GmISU01.13G323700.v2.1	5.50344961924166	5.36917103033872	4.64124619358918	4.15722508886052	5.53666875264817	4.97161682268417	5.65335302124327	5.93482069316151	5.93552599741649
GmISU01.13G324100.v2.1	0.814959520703223	0.814959520703225	0.814959520703225	0.814959520703223	1.72214605455793	1.85213184319396	1.73381173821494	0.814959520703223	2.86569762974355
