GeneName	NMU_14204	NMU_16331	NMU_20728	NMU_20732	Williams-82-ISU-01-01	Williams-82-ISU-01-02	Williams-82-ISU-01-03	Williams-82-ISU-01-04	Williams-82-ISU-01-05
GmISU01.01G023500	0	0	0	0	0	0	0	0	0
GmISU01.01G023600	0	0	0	0	0	0	0	0	0
GmISU01.01G023700	0	0	0	0	0	0	0	0	0
GmISU01.01G023800	3	4	2	5	6	6	3	2	9
GmISU01.01G023900	0	0	0	0	1	1	0	0	0
GmISU01.01G024000	0	0	0	0	0	0	0	0	0
GmISU01.01G024100	0	0	0	0	0	0	0	0	0
GmISU01.01G024200	0	0	0	0	0	0	0	0	0
GmISU01.01G024300	0	1	1	0	1	2	3	3	4
GmISU01.01G024400	0	0	0	0	0	0	0	0	0
GmISU01.01G024500	1071	508	1455	929	611	454	785	184	473
GmISU01.01G024600	0	0	0	0	0	0	0	0	0
GmISU01.01G024700	0	0	0	0	0	0	0	0	0
GmISU01.01G024800	0	0	0	0	0	0	0	0	0
GmISU01.01G024900	0	0	0	0	0	0	0	0	1
GmISU01.01G025000	0	0	0	0	0	0	0	0	0
GmISU01.01G025100	0	0	1	0	0	0	0	0	0
GmISU01.01G025200	0	0	0	0	0	0	0	0	0
GmISU01.01G025300	0	0	0	1	0	0	0	0	0
GmISU01.01G025400	0	0	0	0	0	0	0	0	0
GmISU01.01G025500	0	0	0	0	0	0	0	0	0
GmISU01.01G025600	0	0	0	0	0	0	0	0	0
GmISU01.01G025700	0	0	0	0	0	0	0	0	0
GmISU01.01G025800	82	64	110	84	61	54	77	50	56
GmISU01.01G025900	0	0	0	0	0	0	0	0	0
GmISU01.01G026000	0	0	0	0	0	0	0	0	0
GmISU01.01G026100	0	0	0	0	0	0	0	0	0
GmISU01.01G026200	0	0	0	0	0	0	0	0	0
GmISU01.01G026300	0	0	0	0	0	0	0	0	0
GmISU01.01G026400	0	0	0	0	0	0	0	0	0
GmISU01.01G026500	15	27	27	18	43	24	54	26	36
GmISU01.01G026600	0	0	0	0	0	0	0	0	0
GmISU01.01G026700	0	0	0	0	0	0	0	0	0
GmISU01.01G026800	97	140	109	104	135	103	140	153	158
GmISU01.01G026900	49	32	63	62	63	34	61	20	45
GmISU01.01G027000	0	0	0	0	0	0	0	0	0
GmISU01.01G027100	0	0	0	0	0	0	0	0	0
GmISU01.01G027200	0	0	0	0	0	0	0	0	0
GmISU01.01G027300	0	0	0	0	0	0	0	0	0
GmISU01.01G027400	0	0	0	0	0	0	0	0	0
GmISU01.01G027500	0	0	0	0	0	0	0	0	0
GmISU01.01G027600	11	6	13	11	10	4	13	6	8
GmISU01.01G027700	0	0	0	0	0	0	1	0	0
GmISU01.01G027750	0	0	0	0	0	0	0	0	0
GmISU01.01G027800	1	0	2	1	1	2	4	0	3
GmISU01.01G027900	42	90	61	51	96	85	86	129	148
GmISU01.01G028000	0	0	0	0	0	0	0	0	0
GmISU01.01G028100	0	0	0	0	0	0	0	0	0
GmISU01.01G028200	0	0	0	0	0	0	0	0	0
GmISU01.01G028300	0	0	0	0	0	0	0	0	0
GmISU01.01G028400	1	0	3	3	15	11	21	4	11
GmISU01.01G028500	0	0	0	0	0	0	0	0	0
GmISU01.01G028600	19	44	19	6	19	27	21	55	56
