genes	X3MR_10	X3MR_12	X6MR_2	X6MR_9	Jack.01	Jack.02_B03	Jack.02_B07	Jack.04	Jack.05
GmISU01.20G002300.v2.1	3.27788518944309	3.02423390563672	0.730111113151099	0.730111113151101	1.80920772919755	2.56615843724737	3.00432963442939	3.40309450804281	2.7673717069028
GmISU01.20G002600.v2.1	3.54960406854451	3.02423390563672	3.82513212285065	3.87860881783066	2.84718712599639	3.34849309085556	3.00432963442939	3.59280268107339	3.35641548972852
GmISU01.20G002700.v2.1	0.730111113151099	3.02423390563672	2.54358760202904	3.03276901877297	0.730111113151099	0.730111113151101	1.55179771424122	0.730111113151099	2.34824134709906
GmISU01.20G002800.v2.1	0.730111113151099	1.93269743766592	2.54358760202904	2.58707255210608	0.730111113151099	1.62290493616833	2.45363175984301	1.65325603415002	3.09174995627017
GmISU01.20G002900.v2.1	2.50564929418431	3.36379243570929	1.60847877776619	0.730111113151101	1.80920772919755	2.87646438427935	1.55179771424122	2.21166260905705	0.730111113151101
GmISU01.20G003000.v2.1	0.730111113151099	1.93269743766592	2.15050640238339	0.730111113151101	0.730111113151099	0.730111113151101	2.45363175984301	1.65325603415002	1.75505812597562
GmISU01.20G004400.v2.1	2.9428315711359	0.730111113151101	1.60847877776619	3.03276901877297	2.41960059177111	2.87646438427935	2.07206393116335	2.61323655988974	1.75505812597562
GmISU01.20G005100.v2.1	0.730111113151099	0.730111113151101	0.730111113151099	1.93876542824582	0.730111113151099	2.17028551607243	2.45363175984301	2.21166260905705	1.75505812597562
GmISU01.20G005200.v2.1	3.77816783378112	3.36379243570929	2.54358760202904	3.03276901877297	3.44459044665279	2.56615843724737	2.07206393116335	2.21166260905705	1.75505812597562
GmISU01.20G006200.v2.1	4.57108925600646	3.36379243570929	3.67615948055799	1.93876542824582	4.78130728369593	3.34849309085556	3.00432963442939	1.65325603415002	0.730111113151101
GmISU01.20G006600.v2.1	0.730111113151099	3.02423390563672	0.730111113151099	1.93876542824582	0.730111113151099	0.730111113151101	1.55179771424122	1.65325603415002	0.730111113151101
GmISU01.20G007300.v2.1	8.63537906650224	8.05010210464989	8.32233916379421	7.6090637314155	8.20520673576088	9.20810754914016	8.29258566379847	7.98244827236722	7.47955311127819
GmISU01.20G007500.v2.1	4.14892552029932	4.53903046453342	6.00523882064953	4.90370664323217	5.19879490169623	5.27088091252303	5.75098280242512	5.33313529844073	5.6848497157119
GmISU01.20G007600.v2.1	6.64610033608291	5.61926420026057	6.43431760015683	6.32118920066025	6.46610702827459	6.34420331185902	6.11125487201895	5.86175357220296	6.06373579898517
GmISU01.20G007800.v2.1	2.9428315711359	4.39841982264342	4.3027370051736	4.07756940323428	4.6810708112753	4.69035050016178	4.76127878805057	4.1708890634613	4.68322593156434
GmISU01.20G008200.v2.1	1.87535064671325	4.06791248658041	3.9601514430581	4.40829301823621	3.67051777188371	3.34849309085556	3.40192473349268	3.18460868283151	3.09174995627017
GmISU01.20G008600.v2.1	0.730111113151099	1.93269743766592	1.60847877776619	3.03276901877297	2.41960059177111	1.62290493616833	0.730111113151101	1.65325603415002	3.09174995627017
GmISU01.20G008900.v2.1	0.730111113151099	0.730111113151101	0.730111113151099	0.730111113151101	2.84718712599639	0.730111113151101	0.730111113151101	0.730111113151099	1.75505812597562
GmISU01.20G010300.v2.1	7.0257794970016	6.77616442123211	5.97366383479647	6.66830513370611	6.3070544724251	6.00429100646946	6.72859160014788	6.19018954595582	6.33313484817752
GmISU01.20G010700.v2.1	8.72720017410847	8.43914688895424	7.96100930117828	7.4566367104266	7.55518419565778	7.9596768295746	7.87423098033792	7.53919501911629	7.3026143355502
GmISU01.20G011700.v2.1	3.9754241569277	4.66714550973128	3.67615948055799	4.40829301823621	4.45692490198827	3.1316983488063	3.21678080684009	2.61323655988974	3.94409244501201
GmISU01.20G011800.v2.1	1.87535064671325	3.63846189555749	2.85217971302475	2.58707255210608	3.67051777188371	2.56615843724737	3.40192473349268	2.21166260905705	3.09174995627017
GmISU01.20G012500.v2.1	0.730111113151099	1.93269743766592	2.15050640238339	0.730111113151101	0.730111113151099	1.62290493616833	2.45363175984301	2.61323655988974	1.75505812597562
GmISU01.20G014500.v2.1	2.9428315711359	0.730111113151101	0.730111113151099	0.730111113151101	0.730111113151099	0.730111113151101	2.07206393116335	0.730111113151099	1.75505812597562
GmISU01.20G016300.v2.1	0.730111113151099	2.57932494464582	0.730111113151099	2.58707255210608	2.41960059177111	0.730111113151101	0.730111113151101	2.21166260905705	1.75505812597562
GmISU01.20G016800.v2.1	4.14892552029932	3.36379243570929	2.54358760202904	3.03276901877297	3.17659257914835	3.53692560993967	1.55179771424122	3.18460868283151	3.57997187417307
GmISU01.20G017100.v2.1	5.90575653806061	6.34941264039645	6.0960178082497	6.35990844588087	5.63365708426816	5.37336201301841	5.49001348040164	5.74663212777457	6.13594646336336
GmISU01.20G017900.v2.1	5.16314296584001	4.89358942988981	3.51001361329548	6.01645141031219	5.40138637343795	4.42996882646231	4.82746001562153	3.59280268107339	4.36048525873711
GmISU01.20G018600.v2.1	0.730111113151099	1.93269743766592	0.730111113151099	0.730111113151101	1.80920772919755	2.87646438427935	2.07206393116335	0.730111113151099	2.34824134709906
GmISU01.20G020300.v2.1	6.55650989515061	5.95671715809493	6.72722428272305	6.53929970129311	5.924151166594	6.18423490028436	6.92274481854603	6.80311908155597	6.47908527405254
GmISU01.20G020700.v2.1	0.730111113151099	0.730111113151101	2.15050640238339	0.730111113151101	0.730111113151099	0.730111113151101	2.07206393116335	2.21166260905705	2.34824134709906
GmISU01.20G021300.v2.1	3.54960406854451	3.36379243570929	3.82513212285065	4.54898166456167	4.57334657004731	4.33156854664572	4.69191502890277	4.1708890634613	4.86418040851817
GmISU01.20G021900.v2.1	2.9428315711359	3.86910799259265	3.32221292126478	4.40829301823621	3.44459044665279	3.34849309085556	3.96923136930172	4.1708890634613	3.94409244501201
GmISU01.20G023000.v2.1	5.16314296584001	5.48662095389977	5.90836187927709	5.86316939388405	5.12440773592742	5.83503332911536	5.68111002267511	5.8243912256286	5.42149069922399
GmISU01.20G024700.v2.1	0.730111113151099	0.730111113151101	0.730111113151099	1.93876542824582	0.730111113151099	0.730111113151101	2.75509888759468	2.61323655988974	2.7673717069028
GmISU01.20G025200.v2.1	6.17019949028981	6.49464509786857	5.80450836714575	6.47019628455894	6.90431007105243	6.41799293083747	6.11125487201895	6.50554793974405	6.39329810340862
GmISU01.20G028400.v2.1	0.730111113151099	2.57932494464582	0.730111113151099	0.730111113151101	1.80920772919755	1.62290493616833	2.45363175984301	2.61323655988974	0.730111113151101
GmISU01.20G029500.v2.1	4.30378333373451	4.39841982264342	3.32221292126478	3.87860881783066	5.46305280827316	4.42996882646231	4.1865393146491	4.39131084502065	4.68322593156434
GmISU01.20G032900.v2.1	0.730111113151099	1.93269743766592	3.32221292126478	3.3727845508803	1.80920772919755	3.1316983488063	0.730111113151101	1.65325603415002	2.7673717069028
GmISU01.20G036600.v2.1	2.9428315711359	2.57932494464582	2.15050640238339	1.93876542824582	2.41960059177111	2.17028551607243	2.75509888759468	2.61323655988974	0.730111113151101
GmISU01.20G040400.v2.1	0.730111113151099	1.93269743766592	0.730111113151099	0.730111113151101	1.80920772919755	2.56615843724737	2.07206393116335	2.61323655988974	1.75505812597562
GmISU01.20G047500.v2.1	4.30378333373451	4.89358942988981	5.65327439724165	5.09945847103587	5.40138637343795	5.64324578597523	5.84982945729971	6.09926341050638	6.20471442672055
GmISU01.20G052700.v2.1	3.54960406854451	0.730111113151101	0.730111113151099	1.93876542824582	1.80920772919755	2.56615843724737	2.45363175984301	1.65325603415002	2.7673717069028
GmISU01.20G052800.v2.1	2.50564929418431	1.93269743766592	2.54358760202904	2.58707255210608	0.730111113151099	1.62290493616833	1.55179771424122	2.61323655988974	1.75505812597562
GmISU01.20G056800.v2.1	0.730111113151099	0.730111113151101	0.730111113151099	1.93876542824582	1.80920772919755	0.730111113151101	2.75509888759468	2.61323655988974	0.730111113151101
