GeneName	3MT_2-3	3MT_4-3	3MT_5-4	3MT_7-2	3MT_8-2	3MT_9-3	3MT_10-4	3MT_11-3	3MT_12-3	6MT_1-3	6MT_2-2	6MT_3-3	6MT_4-4	6MT_5-4	6MT_6-3	6MT_6-4	6MT_6-5	6MT_8-4	6MT_9-3	Jack-01	Jack-02_B03	Jack-02_B07	Jack-04	Jack-05
GmISU01.01G007400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G007500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G007600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GmISU01.01G007700	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G007800	17	17	25	30	21	23	22	26	29	22	23	18	16	30	20	49	36	34	47	27	46	35	27	35
GmISU01.01G007900	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GmISU01.01G008000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G008200	6	1	1	1	0	1	1	2	3	4	1	4	3	1	0	3	0	2	3	1	4	0	0	3
GmISU01.01G008300	17	11	9	7	3	13	7	2	14	5	5	21	14	29	14	36	0	19	30	9	15	24	18	19
GmISU01.01G008400	11	3	8	5	6	3	4	6	7	7	6	16	10	23	6	10	11	12	11	8	9	9	11	11
GmISU01.01G008500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008800	641	210	459	731	176	316	114	372	607	347	197	405	179	1143	169	1260	106	205	1245	199	644	929	645	566
GmISU01.01G008900	43	67	39	60	65	100	93	54	84	75	70	95	67	84	97	64	104	78	61	100	81	96	71	84
GmISU01.01G008950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G009000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G009100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G009200	1	0	5	0	0	2	1	1	1	0	0	0	1	2	2	3	0	0	0	0	1	0	1	0
GmISU01.01G009300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G009400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GmISU01.01G009500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
GmISU01.01G009600	1	2	2	1	2	1	0	1	2	2	0	0	2	0	0	4	0	3	0	1	3	2	1	1
GmISU01.01G009700	2	5	2	2	3	4	7	1	5	4	5	4	7	5	3	3	5	2	9	9	5	8	4	6
GmISU01.01G009800	75	84	87	110	77	97	52	83	110	85	74	79	56	121	71	173	97	92	127	53	100	108	101	95
GmISU01.01G009900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GmISU01.01G010200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010400	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G010500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010800	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	3	1	0	0
GmISU01.01G010900	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
GmISU01.01G011000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
