genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WPT0579.03	WPT641.F.3.3	WPT641.F.3.4	WPT642.F.1.3	WPT642.L.6.4	WPT642.L.9.3	WPT647.L.10.2	WPT647.L.10.3	WPT647.L.12.3	WPT648.L.7.4	WPT649.F.1.2	WPT650.L.1.3	WPT650.L.5.3	WPT651.L.3.3	WPT651.L.5.3	WPT651.L.9.1	WPT651.L.9.3	WPT652.F.9.3	WPT652.L.10.3
GmISU01.12G121700.v2.1	2.33769881787528	2.85550028514463	0.57272968899687	1.79974255885106	0.57272968899687	2.23341956381918	2.054730193364	1.54449008079284	1.33475849655222	2.80034950085533	2.95476285573139	2.0447724143693	0.57272968899687	2.39543697063866	0.57272968899687	1.46941555489629	2.31915787324576	0.57272968899687	2.65253810620805	1.6780116026401	1.62513670213343	0.57272968899687	1.70672715232647	1.64733101335847
GmISU01.12G123933.v2.1	0.57272968899687	1.92121495071532	1.52266684859866	3.24249862961743	2.45007371391179	2.23341956381918	2.7701912965822	2.53016024681203	2.19922553979576	3.05931738906811	2.20795203818148	2.445052634644	1.58932025226002	2.00120941353948	2.7871308347838	2.41484470635077	2.31915787324576	1.69880126749176	2.22884792165789	3.05960790132756	2.97761889931696	1.61610292133268	2.76933045400146	2.68323323134908
GmISU01.12G124000.v2.1	3.10811942907992	4.74352875323398	3.65241637752442	3.5183544001117	3.23902301816279	3.84276623807536	4.42574577805287	4.42645109126015	3.43326827956531	4.27002762789224	3.44438858382603	3.01510534325593	4.60368212183174	3.81428716818194	4.7419182986872	4.28036258061799	3.58454826067535	3.58990623468793	4.75965730076912	4.3451960896572	4.75731116613898	4.23623956975277	3.10345970041675	4.51569637673185
GmISU01.12G124200.v2.1	2.33769881787528	1.39910376862308	3.48394564625915	2.45307681379115	2.04919109782273	0.57272968899687	0.57272968899687	2.84920521534319	0.57272968899687	3.05931738906811	2.62915067090526	3.01510534325593	2.92111187309293	2.00120941353948	1.71914354078188	2.01822779759448	1.69549132409064	0.57272968899687	2.22884792165789	3.05960790132756	2.97761889931696	2.21523815527069	0.57272968899687	0.57272968899687
GmISU01.12G124800.v2.1	2.77373643915664	2.60585045928432	2.49696852877966	2.90112227640412	2.04919109782273	2.65764949302845	0.57272968899687	1.54449008079284	2.19922553979576	2.07953631460402	3.80928611618154	0.57272968899687	2.92111187309293	2.39543697063866	2.7871308347838	3.19816507360829	2.31915787324576	2.75793279878383	1.62642279105993	3.55612553815486	2.97761889931696	2.21523815527069	3.37457125536083	2.25632732159959
GmISU01.12G131300.v2.1	0.57272968899687	1.39910376862308	0.57272968899687	0.57272968899687	2.04919109782273	0.57272968899687	1.49620523787929	0.57272968899687	1.33475849655222	2.07953631460402	3.2202481053538	2.0447724143693	1.58932025226002	0.57272968899687	1.71914354078188	2.41484470635077	1.69549132409064	1.69880126749176	1.62642279105993	0.57272968899687	1.62513670213343	1.61610292133268	1.70672715232647	1.64733101335847
GmISU01.12G131700.v2.1	1.70979616416412	0.57272968899687	1.52266684859866	2.90112227640412	2.04919109782273	3.84276623807536	1.49620523787929	2.11991519112741	3.12636458390941	2.48449977107484	2.20795203818148	1.48887919371599	1.58932025226002	2.39543697063866	3.12228020380432	2.41484470635077	3.95416170731189	2.75793279878383	2.65253810620805	3.55612553815486	3.46879289813199	1.61610292133268	3.37457125536083	2.68323323134908
GmISU01.12G133100.v2.1	7.00155359533445	6.79104970505173	6.88143703714676	7.07790317309682	6.9005623997783	6.68319353161454	5.22867299063389	6.7643795625673	6.51620613702738	6.38661589507952	6.69076774732274	4.49807905984632	6.69270527926776	6.65635488743031	6.60223491281584	6.29265379957624	6.16085568439906	6.13108322163092	6.03325853306339	6.63083662946463	6.22817920276364	6.53944577617869	6.87015776336368	6.82478042255124
GmISU01.12G134600.v2.1	3.37939776096721	4.61401319261585	4.38471843145687	4.28062587100021	4.50452903522617	4.26082298348145	4.33332390878336	3.84342161965857	4.66062503751394	4.16378897350069	4.22635706124478	4.31893587832496	4.06218547951321	4.73592993935404	3.81995957752137	3.70301117952723	4.79495565900749	4.60608824505025	4.128345755365	4.07896122151954	4.57595602580566	4.55955694843215	4.51157251860547	4.29164360050805
GmISU01.12G135300.v2.1	6.15088381453811	5.12261263204305	4.86814197448189	7.41783761339837	6.19131051975089	5.38116413628574	4.88236133609229	6.87394806269304	5.52331815411909	5.45771577126073	6.10525286471416	4.93137807882266	5.85279108243183	5.24677360030555	7.05807539555919	5.06744003040993	6.71188026990307	5.61411169064398	5.58168578329912	6.98301765736405	6.2883866307287	5.97806181534627	6.7079830051886	6.82478042255124
