genes	logFC	logCPM	F	PValue	FDR
GmISU01.03G129600.v2.1	-2.55168839758584	4.98736258074987	31.2293080961073	3.1016064507717e-05	0.00273406608635526
GmISU01.10G001100.v2.1	-1.27007837384072	6.44095092613837	30.9117599449311	3.28752428304563e-05	0.00286025979599318
GmISU01.15G066200.v2.1	2.21460315385135	4.83659396289662	30.8540214466312	3.32264981599283e-05	0.00286025979599318
GmISU01.13G079300.v2.1	-2.79263723487038	5.03526587327216	30.8223305068922	3.34210730558477e-05	0.00286025979599318
GmISU01.14G101700.v2.1	1.87749492409174	5.96572022579596	30.6578422618592	3.44516698057784e-05	0.00292011028209554
GmISU01.13G169100.v2.1	-2.94329157866515	5.48333380023168	30.5854541725213	3.49164299775335e-05	0.00293131743097103
GmISU01.18G160600.v2.1	-1.45924209041967	6.61700458180459	30.4341209691211	3.59108566846754e-05	0.00298636039316428
GmISU01.13G236300.v2.1	1.3106460892681	7.50393222031315	30.2280675941351	3.73161259765839e-05	0.00307422103255689
GmISU01.02G024100.v2.1	-1.2334833141056	6.45077171384989	30.1604624717102	3.7790494717488e-05	0.00308447417532089
GmISU01.13G312100.v2.1	1.87619147839907	5.98515879349952	29.8849464427587	3.97946585672035e-05	0.00316947806737105
GmISU01.18G192300.v2.1	1.50632795188737	6.76646721550985	29.8764173650383	3.9858568754072e-05	0.00316947806737105
GmISU01.12G068800.v2.1	1.87893078110584	6.20434221363413	29.8694829489857	3.99106143480643e-05	0.00316947806737105
GmISU01.05G028100.v2.1	-1.71721554865734	5.31571112464319	29.7839497248371	4.05588606828277e-05	0.00319219961534934
GmISU01.07G025800.v2.1	-4.10090114711604	3.27062157140097	29.5151031766822	4.2674293218848e-05	0.00331199176973876
GmISU01.13G163000.v2.1	-1.95237352568263	4.64712445776855	29.4676771839499	4.30601168874413e-05	0.00331199176973876
GmISU01.13G021700.v2.1	-1.94754744865109	5.20302853403051	29.4496175676152	4.32080605241019e-05	0.00331199176973876
GmISU01.13G107700.v2.1	-5.94663413619686	3.14326555790183	35.3706773792213	4.49614158088763e-05	0.00336751054085003
GmISU01.04G014000.v2.1	-1.90334987930231	5.36340771520821	29.2290742504325	4.50613240406077e-05	0.00336751054085003
GmISU01.09G191100.v2.1	-1.42531158082364	5.86379614102387	29.2270876267734	4.50784167691779e-05	0.00336751054085003
GmISU01.11G101100.v2.1	-1.88570107163082	6.17564381268403	29.1177576401416	4.60303497521138e-05	0.00340972716861247
GmISU01.15G090200.v2.1	1.64783916180953	6.18340501849015	29.0171939554675	4.69258268006135e-05	0.00344709302706173
GmISU01.14G007000.v2.1	-4.01592129314705	4.20068082295014	28.9141399846501	4.7863727875469e-05	0.00348693191092776
GmISU01.09G142800.v2.1	-1.50143153875066	5.44068850373265	28.7386570614173	4.95094158153452e-05	0.00357725820010056
GmISU01.12G171500.v2.1	1.41848562626191	5.76055131673933	28.5613224511258	5.12369835099032e-05	0.00364419171069021
GmISU01.16G023600.v2.1	-3.50435258196616	3.82454257934717	28.5587439732635	5.12625946824261e-05	0.00364419171069021
GmISU01.07G012650.v2.1	-2.27887603419849	8.30524985759919	28.408115566311	5.27838672726818e-05	0.00372231832006952
GmISU01.08G286800.v2.1	2.67745094937797	5.68361866825712	28.332000785008	5.35717313008061e-05	0.00374789532870322
GmISU01.11G023000.v2.1	-3.22766088898706	3.46274251247334	28.290608095223	5.40056987691518e-05	0.00374850578464624
GmISU01.15G067300.v2.1	1.74993665797353	5.02358104305633	28.0951026854081	5.61092317843469e-05	0.00386408498577358
GmISU01.11G034900.v2.1	-1.80990422114066	4.84244489485217	28.0494037605883	5.66140323023155e-05	0.00386862554065823
